cycle,angle
0.0,6.19
1.0,6.92
2.0,7.85
3.0,8.94
4.0,10.15
5.0,11.44
6.0,12.79
7.0,14.14
8.0,15.48
9.0,16.75
10.0,17.92
11.0,18.97
12.0,19.84
13.0,20.51
14.0,21.00
15.0,21.32
16.0,21.49
17.0,21.50
18.0,21.38
19.0,21.15
20.0,20.81
21.0,20.38
22.0,19.87
23.0,19.29
24.0,18.67
25.0,18.00
26.0,17.30
27.0,16.59
28.0,15.86
29.0,15.12
30.0,14.39
31.0,13.68
32.0,12.98
33.0,12.32
34.0,11.69
35.0,11.12
36.0,10.60
37.0,10.14
38.0,9.76
39.0,9.46
40.0,9.26
41.0,9.15
42.0,9.15
43.0,9.27
44.0,9.51
45.0,9.89
46.0,10.42
47.0,11.09
48.0,11.93
49.0,12.93
50.0,14.11
51.0,15.49
52.0,17.07
53.0,18.86
54.0,20.87
55.0,23.12
56.0,25.60
57.0,28.27
58.0,31.09
59.0,34.05
60.0,37.09
61.0,40.19
62.0,43.30
63.0,46.38
64.0,49.36
65.0,52.20
66.0,54.83
67.0,57.21
68.0,59.29
69.0,61.06
70.0,62.49
71.0,63.57
72.0,64.27
73.0,64.57
74.0,64.47
75.0,63.99
76.0,63.14
77.0,61.95
78.0,60.43
79.0,58.60
80.0,56.48
81.0,54.09
82.0,51.45
83.0,48.58
84.0,45.49
85.0,42.21
86.0,38.76
87.0,35.21
88.0,31.61
89.0,28.02
90.0,24.49
91.0,21.09
92.0,17.86
93.0,14.88
94.0,12.19
95.0,9.86
96.0,7.94
